# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140405-20140505
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
69865,2,2,0,0.00
6990,2,2,0,0.00
69925,2,2,0,0.00
69938,2,2,0,0.00
69939,2,2,0,0.00
69943,2,2,0,0.00
69948,2,2,0,0.00
69950,2,2,0,0.00
69960,2,2,0,0.00
69981,2,2,0,0.00
69983,2,2,0,0.00
70047,2,2,0,0.00
7006,2,2,0,0.00
70076,2,2,0,0.00
7010,2,2,0,0.00
70108,2,2,0,0.00
70120,2,2,0,0.00
70124,2,2,0,0.00
70138,2,2,0,0.00
70160,2,2,0,0.00
70166,2,2,0,0.00
70184,2,2,0,0.00
7024,2,2,0,0.00
70254,2,2,0,0.00
70256,2,2,0,0.00
7026,2,2,0,0.00
7027,2,2,0,0.00
7028,2,2,0,0.00
7030,2,2,0,0.00
70312,2,2,0,0.00
70326,2,2,0,0.00
70356,2,2,0,0.00
70363,2,2,0,0.00
7037,2,2,0,0.00
70375,2,2,0,0.00
70379,2,2,0,0.00
70411,2,2,0,0.00
7042,2,2,0,0.00
7045,2,2,0,0.00
70456,2,2,0,0.00
70458,2,2,0,0.00
7048,2,2,0,0.00
7049,2,2,0,0.00
70497,2,2,0,0.00
70512,2,2,0,0.00
70534,2,2,0,0.00
70537,2,2,0,0.00
705447,2,2,0,0.00
7056,2,2,0,0.00
70562,2,2,0,0.00
70578,2,2,0,0.00
7059,2,2,0,0.00
70597,2,2,0,0.00
70602,2,2,0,0.00
7062,2,2,0,0.00
70636,2,2,0,0.00
70640,2,2,0,0.00
70660,2,2,0,0.00
70671,2,2,0,0.00
70723,2,2,0,0.00
70745,2,2,0,0.00
70758,2,2,0,0.00
7076,2,2,0,0.00
70793,2,2,0,0.00
70812,2,2,0,0.00
70821,2,2,0,0.00
70854,2,2,0,0.00
70857,2,2,0,0.00
70858,2,2,0,0.00
70859,2,2,0,0.00
70899,2,2,0,0.00
7091,2,2,0,0.00
70913,2,2,0,0.00
7092,2,2,0,0.00
70930,2,2,0,0.00
7094,2,2,0,0.00
7096,2,2,0,0.00
70965,2,2,0,0.00
70986,2,2,0,0.00
70989,2,2,0,0.00
71024,2,2,0,0.00
71042,2,2,0,0.00
71055,2,2,0,0.00
71067,2,2,0,0.00
71068,2,2,0,0.00
71074,2,2,0,0.00
71093,2,2,0,0.00
71099,2,2,0,0.00
71118,2,2,0,0.00
7114,2,2,0,0.00
71140,2,2,0,0.00
71142,2,2,0,0.00
71156,2,2,0,0.00
71178,2,2,0,0.00
71195,2,2,0,0.00
7123,2,2,0,0.00
71234,2,2,0,0.00
71262,2,2,0,0.00
71297,2,2,0,0.00
71335,2,2,0,0.00
7134,2,2,0,0.00
71342,2,2,0,0.00
71360,2,2,0,0.00
71377,2,2,0,0.00
7138,2,2,0,0.00
71386,2,2,0,0.00
71417,2,2,0,0.00
71436,2,2,0,0.00
71440,2,2,0,0.00
71443,2,2,0,0.00
7145,2,2,0,0.00
71457,2,2,0,0.00
7147,2,2,0,0.00
71473,2,2,0,0.00
71507,2,2,0,0.00
71511,2,2,0,0.00
71514,2,2,0,0.00
71556,2,2,0,0.00
71588,2,2,0,0.00
7160,2,2,0,0.00
71615,2,2,0,0.00
71628,2,2,0,0.00
71697,2,2,0,0.00
71699,2,2,0,0.00
7170,2,2,0,0.00
71733,2,2,0,0.00
71745,2,2,0,0.00
71747,2,2,0,0.00
71749,2,2,0,0.00
71753,2,2,0,0.00
71779,2,2,0,0.00
71787,2,2,0,0.00
71800,2,2,0,0.00
71809,2,2,0,0.00
7183,2,2,0,0.00
7185,2,2,0,0.00
7187,2,2,0,0.00
71882,2,2,0,0.00
71895,2,2,0,0.00
71923,2,2,0,0.00
71925,2,2,0,0.00
71934,2,2,0,0.00
71949,2,2,0,0.00
71952,2,2,0,0.00
71958,2,2,0,0.00
7196,2,2,0,0.00
7197,2,2,0,0.00
72019,2,2,0,0.00
72029,2,2,0,0.00
7209,2,2,0,0.00
7210,2,2,0,0.00
72112,2,2,0,0.00
72116,2,2,0,0.00
72117,2,2,0,0.00
72139,2,2,0,0.00
72147,2,2,0,0.00
72150,2,2,0,0.00
72175,2,2,0,0.00
72190,2,2,0,0.00
72199,2,2,0,0.00
72218,2,2,0,0.00
72233,2,2,0,0.00
72270,2,2,0,0.00
7231,2,2,0,0.00
72323,2,2,0,0.00
72329,2,2,0,0.00
72332,2,2,0,0.00
72338,2,2,0,0.00
7236,2,2,0,0.00
72374,2,2,0,0.00
72378,2,2,0,0.00
7238,2,2,0,0.00
7240,2,2,0,0.00
72417,2,2,0,0.00
72520,2,2,0,0.00
72527,2,2,0,0.00
7254,2,2,0,0.00
72554,2,2,0,0.00
7256,2,2,0,0.00
72567,2,2,0,0.00
7258,2,2,0,0.00
72583,2,2,0,0.00
72654,2,2,0,0.00
72661,2,2,0,0.00
72683,2,2,0,0.00
7270,2,2,0,0.00
72712,2,2,0,0.00
72724,2,2,0,0.00
72728,2,2,0,0.00
72744,2,2,0,0.00
72746,2,2,0,0.00
72748,2,2,0,0.00
72772,2,2,0,0.00
72784,2,2,0,0.00
72789,2,2,0,0.00
72811,2,2,0,0.00
7283,2,2,0,0.00
72831,2,2,0,0.00
72872,2,2,0,0.00
7289,2,2,0,0.00
7290,2,2,0,0.00
72922,2,2,0,0.00
7295,2,2,0,0.00
72954,2,2,0,0.00
72986,2,2,0,0.00
73036,2,2,0,0.00
73054,2,2,0,0.00
73058,2,2,0,0.00
73075,2,2,0,0.00
7308,2,2,0,0.00
7312,2,2,0,0.00
73127,2,2,0,0.00
7313,2,2,0,0.00
7316,2,2,0,0.00
7320,2,2,0,0.00
73201,2,2,0,0.00
7322,2,2,0,0.00
73243,2,2,0,0.00
73256,2,2,0,0.00
73267,2,2,0,0.00
73280,2,2,0,0.00
73298,2,2,0,0.00
7332,2,2,0,0.00
73329,2,2,0,0.00
7333,2,2,0,0.00
73334,2,2,0,0.00
73336,2,2,0,0.00
7339,2,2,0,0.00
73447,2,2,0,0.00
73452,2,2,0,0.00
73457,2,2,0,0.00
73458,2,2,0,0.00
73476,2,2,0,0.00
73483,2,2,0,0.00
73487,2,2,0,0.00
73492,2,2,0,0.00
73514,2,2,0,0.00
73536,2,2,0,0.00
73541,2,2,0,0.00
73544,2,2,0,0.00
73548,2,2,0,0.00
73571,2,2,0,0.00
7358,2,2,0,0.00
73580,2,2,0,0.00
73591,2,2,0,0.00
73632,2,2,0,0.00
73640,2,2,0,0.00
73644,2,2,0,0.00
73648,2,2,0,0.00
7366,2,2,0,0.00
73683,2,2,0,0.00
73684,2,2,0,0.00
7370,2,2,0,0.00
73711,2,2,0,0.00
7372,2,2,0,0.00
73742,2,2,0,0.00
73760,2,2,0,0.00
73769,2,2,0,0.00
73772,2,2,0,0.00
73841,2,2,0,0.00
7386,2,2,0,0.00
73879,2,2,0,0.00
7391,2,2,0,0.00
73955,2,2,0,0.00
7397,2,2,0,0.00
7399,2,2,0,0.00
7400,2,2,0,0.00
7402,2,2,0,0.00
74041,2,2,0,0.00
7405,2,2,0,0.00
74055,2,2,0,0.00
74081,2,2,0,0.00
74093,2,2,0,0.00
7410,2,2,0,0.00
7411,2,2,0,0.00
7414,2,2,0,0.00
74165,2,2,0,0.00
74193,2,2,0,0.00
74196,2,2,0,0.00
74197,2,2,0,0.00
74243,2,2,0,0.00
7425,2,2,0,0.00
74270,2,2,0,0.00
74277,2,2,0,0.00
7429,2,2,0,0.00
7430,2,2,0,0.00
7431,2,2,0,0.00
7433,2,2,0,0.00
74388,2,2,0,0.00
7439,2,2,0,0.00
74396,2,2,0,0.00
74402,2,2,0,0.00
7441,2,2,0,0.00
74425,2,2,0,0.00
74433,2,2,0,0.00
74437,2,2,0,0.00
7449,2,2,0,0.00
74523,2,2,0,0.00
7453,2,2,0,0.00
74530,2,2,0,0.00
74532,2,2,0,0.00
7456,2,2,0,0.00
7458,2,2,0,0.00
74594,2,2,0,0.00
74604,2,2,0,0.00
7462,2,2,0,0.00
74620,2,2,0,0.00
74654,2,2,0,0.00
7466,2,2,0,0.00
74664,2,2,0,0.00
74668,2,2,0,0.00
74710,2,2,0,0.00
7472,2,2,0,0.00
74727,2,2,0,0.00
74729,2,2,0,0.00
7475,2,2,0,0.00
74760,2,2,0,0.00
74763,2,2,0,0.00
7477,2,2,0,0.00
74804,2,2,0,0.00
74813,2,2,0,0.00
74892,2,2,0,0.00
74896,2,2,0,0.00
7492,2,2,0,0.00
74936,2,2,0,0.00
7494,2,2,0,0.00
74986,2,2,0,0.00
75000,2,2,0,0.00
75005,2,2,0,0.00
75023,2,2,0,0.00
75038,2,2,0,0.00
7504,2,2,0,0.00
75048,2,2,0,0.00
75067,2,2,0,0.00
75068,2,2,0,0.00
75075,2,2,0,0.00
7509,2,2,0,0.00
75115,2,2,0,0.00
75119,2,2,0,0.00
75129,2,2,0,0.00
7519,2,2,0,0.00
75192,2,2,0,0.00
75215,2,2,0,0.00
75221,2,2,0,0.00
75243,2,2,0,0.00
75251,2,2,0,0.00
75273,2,2,0,0.00
75285,2,2,0,0.00
75289,2,2,0,0.00
75326,2,2,0,0.00
75329,2,2,0,0.00
7533,2,2,0,0.00
75338,2,2,0,0.00
75340,2,2,0,0.00
