# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140405-20140505
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
297956,1,1,0,0.00
297959,1,1,0,0.00
29796,1,1,0,0.00
297973,1,1,0,0.00
297984,1,1,0,0.00
297989,1,1,0,0.00
298012,1,1,0,0.00
298026,1,1,0,0.00
29803,1,1,0,0.00
29804,1,1,0,0.00
298043,1,1,0,0.00
298054,1,1,0,0.00
298055,1,1,0,0.00
29806,1,1,0,0.00
29808,1,1,0,0.00
298089,1,1,0,0.00
2981218,1,1,0,0.00
29813,1,1,0,0.00
2981375,1,1,0,0.00
298147,1,1,0,0.00
298176,1,1,0,0.00
298177,1,1,0,0.00
298183,1,1,0,0.00
29819,1,1,0,0.00
29823,1,1,0,0.00
29824,1,1,0,0.00
298248,1,1,0,0.00
29827,1,1,0,0.00
298290,1,1,0,0.00
29832,1,1,0,0.00
298331,1,1,0,0.00
29834,1,1,0,0.00
29835,1,1,0,0.00
298351,1,1,0,0.00
298355,1,1,0,0.00
298367,1,1,0,0.00
29837,1,1,0,0.00
298414,1,1,0,0.00
298428,1,1,0,0.00
298433,1,1,0,0.00
298435,1,1,0,0.00
298436,1,1,0,0.00
298439,1,1,0,0.00
298442,1,1,0,0.00
298448,1,1,0,0.00
298464,1,1,0,0.00
298473,1,1,0,0.00
298491,1,1,0,0.00
298494,1,1,0,0.00
298498,1,1,0,0.00
29850,1,1,0,0.00
298500,1,1,0,0.00
298505,1,1,0,0.00
298509,1,1,0,0.00
29851,1,1,0,0.00
298529,1,1,0,0.00
2985448,1,1,0,0.00
298546,1,1,0,0.00
298547,1,1,0,0.00
298557,1,1,0,0.00
298558,1,1,0,0.00
298577,1,1,0,0.00
298582,1,1,0,0.00
298589,1,1,0,0.00
2985981,1,1,0,0.00
29862,1,1,0,0.00
298625,1,1,0,0.00
29863,1,1,0,0.00
29864,1,1,0,0.00
298647,1,1,0,0.00
298654,1,1,0,0.00
29866,1,1,0,0.00
298666,1,1,0,0.00
298671,1,1,0,0.00
298679,1,1,0,0.00
29868,1,1,0,0.00
298686,1,1,0,0.00
29869,1,1,0,0.00
298695,1,1,0,0.00
298697,1,1,0,0.00
298706,1,1,0,0.00
2987063,1,1,0,0.00
2987121,1,1,0,0.00
29872,1,1,0,0.00
298729,1,1,0,0.00
29874,1,1,0,0.00
298752,1,1,0,0.00
29876,1,1,0,0.00
29877,1,1,0,0.00
2987705,1,1,0,0.00
29877134,1,1,0,0.00
298786,1,1,0,0.00
29879,1,1,0,0.00
29880,1,1,0,0.00
298802,1,1,0,0.00
298816,1,1,0,0.00
298822,1,1,0,0.00
2988261,1,1,0,0.00
298836,1,1,0,0.00
29884,1,1,0,0.00
298845,1,1,0,0.00
298850,1,1,0,0.00
298862,1,1,0,0.00
2988627,1,1,0,0.00
298863,1,1,0,0.00
298867,1,1,0,0.00
29887,1,1,0,0.00
29889,1,1,0,0.00
298894,1,1,0,0.00
298898,1,1,0,0.00
29891,1,1,0,0.00
29892,1,1,0,0.00
298925,1,1,0,0.00
298929,1,1,0,0.00
298946,1,1,0,0.00
298950,1,1,0,0.00
29896,1,1,0,0.00
29897,1,1,0,0.00
29899,1,1,0,0.00
29901,1,1,0,0.00
29902,1,1,0,0.00
299035,1,1,0,0.00
299047,1,1,0,0.00
29906,1,1,0,0.00
2990628,1,1,0,0.00
29907,1,1,0,0.00
299075,1,1,0,0.00
299086,1,1,0,0.00
29909,1,1,0,0.00
29910,1,1,0,0.00
299103,1,1,0,0.00
29911,1,1,0,0.00
299116,1,1,0,0.00
299117,1,1,0,0.00
299126,1,1,0,0.00
29915,1,1,0,0.00
2991504,1,1,0,0.00
29916,1,1,0,0.00
299162,1,1,0,0.00
299169,1,1,0,0.00
299170,1,1,0,0.00
299174,1,1,0,0.00
299183,1,1,0,0.00
29919,1,1,0,0.00
299195,1,1,0,0.00
299231,1,1,0,0.00
29924,1,1,0,0.00
299250,1,1,0,0.00
299263,1,1,0,0.00
299271,1,1,0,0.00
29928,1,1,0,0.00
299284,1,1,0,0.00
29929,1,1,0,0.00
29930,1,1,0,0.00
2993042,1,1,0,0.00
299307,1,1,0,0.00
29932,1,1,0,0.00
29934,1,1,0,0.00
29935,1,1,0,0.00
299364,1,1,0,0.00
29938,1,1,0,0.00
299392,1,1,0,0.00
299399,1,1,0,0.00
299400,1,1,0,0.00
29942,1,1,0,0.00
29943,1,1,0,0.00
299432,1,1,0,0.00
299444,1,1,0,0.00
299450,1,1,0,0.00
299454,1,1,0,0.00
299466,1,1,0,0.00
29947,1,1,0,0.00
299470,1,1,0,0.00
299471,1,1,0,0.00
299475,1,1,0,0.00
299481,1,1,0,0.00
299482,1,1,0,0.00
299484,1,1,0,0.00
299488,1,1,0,0.00
29949,1,1,0,0.00
29952,1,1,0,0.00
299532,1,1,0,0.00
299539,1,1,0,0.00
29955,1,1,0,0.00
29956,1,1,0,0.00
29957,1,1,0,0.00
29958,1,1,0,0.00
299589,1,1,0,0.00
29959,1,1,0,0.00
299592,1,1,0,0.00
299594,1,1,0,0.00
29960,1,1,0,0.00
29962,1,1,0,0.00
299624,1,1,0,0.00
299627,1,1,0,0.00
299634,1,1,0,0.00
299640,1,1,0,0.00
299648,1,1,0,0.00
299669,1,1,0,0.00
299691,1,1,0,0.00
299708,1,1,0,0.00
299714,1,1,0,0.00
29972,1,1,0,0.00
299724,1,1,0,0.00
2997257,1,1,0,0.00
299726,1,1,0,0.00
29973,1,1,0,0.00
29974871,1,1,0,0.00
299768,1,1,0,0.00
299772,1,1,0,0.00
299773,1,1,0,0.00
299795,1,1,0,0.00
299800,1,1,0,0.00
