Q,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,3a,3bi,3bii,4a,4b,5a,5b,6a,6b,6c,7a,7b,7c,7d,7e,8a,8b,8c,9,10
S49,0,2,2,2,2,2,3,0,2,0,0,1,0,5,1,2,3,0,0,0,0,0,0,0,0,0,0,2,5,0
S50,2,1,0,0,0,0,3,0,0,0,0,0,0,5,1,1,2,1,0,0,2,2,0,1,1,0,0,0,5,2
S51,0,1,0,0,0,0,2,1,2,0,0,0,0,5,2,0,3,2,0,1,0,0,0,0,0,3,2,0,3,0
S52,2,0,2,0,2,0,3,0,0,0,0,1,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,2
S53,2,0,1,1,2,1,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S54,2,2,1,1,2,0,2,0,0,0,0,0,0,5,1,0,3,2,1,1,1,0,0,0,0,0,0,2,5,4
S55,2,0,1,0,0,0,3,0,2,0,2,3,1,5,1,1,3,3,2,1,2,0,0,0,0,0,0,2,1,5
S56,2,2,1,2,0,1,3,1,2,1,0,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0
S57,0,0,1,2,0,1,3,0,0,0,4,1,0,3,0,2,3,2,0,1,2,0,0,0,0,0,0,0,6,3
S58,2,2,0,2,2,2,3,0,0,0,2,1,1,4,1,3,3,2,0,0,2,0,0,0,0,0,0,0,5,3
S59,2,1,1,2,0,0,2,1,1,0,0,1,0,3,2,5,0,0,1,1,0,0,0,0,0,0,0,0,5,2
S60,2,0,1,2,2,1,3,1,2,2,0,2,0,5,3,5,3,0,1,0,1,0,0,0,0,0,0,0,5,5
S61,2,1,1,1,0,2,3,1,2,2,2,1,5,1,3,3,1,0,1,0,2,0,0,0,0,0,0,2,4,5
S62,2,2,1,2,2,2,3,0,0,0,0,0,0,3,1,1,0,2,0,2,0,0,0,0,0,3,2,2,5,4
S63,2,0,1,0,2,1,3,1,2,0,4,0,0,5,1,1,3,1,0,0,2,0,0,0,0,0,0,0,3,0
S64,2,1,0,2,2,1,3,0,1,2,0,1,0,5,1,2,3,2,0,1,2,3,0,0,0,0,0,2,2,2
S65,0,2,0,2,2,0,3,2,3,3,3,1,0,5,3,5,3,0,0,1,2,3,1,2,2,0,0,3,5,3
S66,2,1,0,2,2,1,3,0,2,0,2,0,0,5,1,2,0,2,0,1,2,0,0,0,0,3,2,0,6,5
S67,2,2,1,2,2,2,3,0,0,2,0,3,0,5,1,2,2,2,0,1,2,1,1,2,2,3,2,3,6,0
S68,2,0,1,2,2,1,3,0,1,0,0,0,0,5,1,0,0,0,0,1,2,3,0,3,0,3,0,0,5,6
S69,2,2,1,2,2,0,3,1,2,0,0,1,0,5,1,2,2,3,1,0,2,1,1,0,0,0,0,0,6,5
S70,2,1,0,2,0,0,3,1,0,2,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,3,2,2,1,0
S71,0,1,0,0,2,1,3,0,2,1,0,1,0,5,2,1,3,1,0,2,1,0,0,0,0,0,0,0,1,5
S72,2,1,0,2,2,1,3,1,2,0,0,2,0,5,1,2,3,1,1,0,1,0,0,0,0,0,0,0,5,3
S73,2,0,0,0,0,1,3,1,0,0,4,3,0,5,1,0,0,2,0,2,0,0,0,0,0,0,2,2,4,0
S74,2,2,2,2,2,1,3,2,2,2,2,1,0,5,1,5,3,3,2,0,2,3,1,3,1,0,0,2,5,2
S75,2,0,0,2,0,1,3,0,2,1,0,0,0,5,1,2,2,1,0,0,2,0,0,0,0,0,0,0,4,1
