# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120901-20121231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(l),865,776,667,00:03:30,14.91,09:41:30
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(h),838,749,671,00:02:01,23.94,25:00:21
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(m),837,756,670,00:03:13,27.00,09:11:31
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(j),834,754,675,00:02:45,22.54,11:32:53
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(k),816,745,671,00:03:32,27.20,18:41:59
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(n),816,733,660,00:02:32,35.48,12:22:27
/Science:Math_Exam_Resources/Courses/MATH110/December_2011,763,415,184,00:00:53,6.69,44:11:56
/Science:Math_Exam_Resources/Courses/MATH100/December_2011,630,349,209,00:00:28,17.03,06:08:08
/Science:Math_Exam_Resources/Courses/MATH110/December_2010,625,358,151,00:00:52,6.07,41:06:39
/Science:Math_Exam_Resources/Courses/MATH110,584,431,217,00:00:44,2.50,61:57:20
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_8_(i),431,312,211,00:04:02,3.53,51:37:56
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,418,270,191,00:00:35,26.12,05:17:42
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_1_(a)_i,371,289,231,00:03:14,7.42,33:10:19
/Science:Math_Exam_Resources/Courses/MATH102,330,256,216,00:00:27,6.47,02:10:38
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_5,324,250,191,00:05:11,9.82,05:34:17
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_3,317,265,203,00:06:17,7.37,09:05:27
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_2_(b)_i,308,239,197,00:04:51,14.67,08:50:02
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_9,306,247,194,00:04:48,10.55,07:56:40
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_7_(ii),303,226,188,00:04:26,25.25,03:01:34
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_(i),288,253,240,00:00:14,48.00,03:45:01
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_1_(b)_i,287,220,193,00:02:52,19.13,12:04:32
/Science:Math_Exam_Resources/Courses/MATH101,285,197,173,00:00:18,10.18,02:29:15
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_4_(i),285,222,191,00:01:31,10.56,20:57:15
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_1_(a)_ii,282,224,194,00:03:08,10.07,26:26:24
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_8_(iii),277,231,183,00:04:19,11.54,01:33:16
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_6,271,225,194,00:03:31,12.90,12:43:41
