# ----------------------------------------						
# wiki.ubc.ca						
# Math Exam Resource Wiki						
# 20120101-20131127						
# ----------------------------------------						
						
Page	Pageviews	Unique Pageviews	Unique Visitors	Avg. Time on Page	Pages / Visit	Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(d)	1,636	1,370	1,127	00:02:10	24.79	32:51:54
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(a)	1,636	1,388	1,061	00:02:32	18.18	35:40:56
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(b)	1,612	1,391	1,172	00:01:32	29.85	14:50:14
/Science:Math_Exam_Resources/Courses/MATH220	1,582	1,058	578	00:00:38	3.3	111:26:11
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(l)	1,576	1,421	1,190	00:02:02	43.78	18:03:09
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(b)	1,576	1,376	1,130	00:01:36	21.01	17:14:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(n)	1,561	1,418	1,184	00:04:27	20.01	32:46:00
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(k)	1,558	1,376	1,145	00:02:23	24.73	30:50:52
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(a)	1,466	1,331	1,097	00:02:02	21.25	32:14:35
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(b)	1,424	1,157	881	00:04:47	7.66	31:04:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_6	1,415	1,202	908	00:05:19	9.25	19:10:11
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_3	1,412	1,190	950	00:06:07	14.26	41:41:02
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(a)	1,373	1,112	755	00:03:30	9.74	76:35:25
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_5	1,361	1,139	869	00:05:28	9.26	47:46:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_3	1,349	1,157	911	00:03:51	11.24	23:55:16
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(b)	1,346	1,166	968	00:03:45	17.95	59:58:01
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_2	1,343	1,136	914	00:04:37	24.87	21:17:19
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_3_(a)	1,310	830	608	00:03:11	9.92	59:28:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(e)	1,307	1,148	929	00:04:57	18.15	38:59:11
/Science:Math_Exam_Resources/Courses/MATH220/December_2011	1,298	608	351	00:00:51	11.69	15:45:17
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(a)	1,289	1,103	815	00:03:44	12.28	69:36:43
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_6	1,280	1,094	839	00:06:23	15.24	27:37:39
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(a)	1,277	1,028	869	00:02:19	22.4	22:41:05
/Science:Math_Exam_Resources/Courses/MATH100/December_2010	1,256	737	510	00:00:32	22.04	08:43:27
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(c)	1,250	1,067	884	00:03:16	23.15	28:19:57
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(b)	1,247	929	725	00:04:31	10.94	43:15:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_4	1,235	1,100	884	00:06:22	18.71	24:24:56
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_7	1,211	1,040	830	00:06:11	9.61	68:26:14
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(b)	1,181	1,043	911	00:01:54	21.87	26:42:51
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_4	1,181	1,013	806	00:03:09	15.75	54:13:30
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(d)	1,178	1,040	893	00:03:46	24.54	22:48:23
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(b)	1,160	908	647	00:03:43	16.11	45:39:51
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_5_(a)	1,136	974	782	00:02:32	14.02	35:13:51
/Science:Math_Exam_Resources/Courses/MATH102/December_2011	1,130	557	381	00:00:41	4.43	104:41:59
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(f)	1,115	947	752	00:04:04	9.07	26:20:13
/Science:Math_Exam_Resources/Courses/MATH101/April_2008	1,106	710	465	00:00:46	18.43	26:07:11
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(a)	1,100	962	788	00:02:47	11.46	24:54:27
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(c)	1,091	938	788	00:04:12	11.02	35:13:12
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(i)	1,082	965	830	00:04:00	21.22	10:33:20
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(f)	1,079	968	860	00:03:09	14.39	54:16:30
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(e)	1,079	830	701	00:03:03	17.98	11:19:51
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(c)	1,079	908	638	00:06:10	14.39	32:57:41
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(g)	1,076	977	821	00:03:18	17.93	19:11:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(m)	1,064	947	806	00:03:18	19.7	12:16:56
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(k)	1,052	935	821	00:03:33	25.05	23:33:20
/Science:Math_Exam_Resources/Courses/MATH257/December_2011	1,052	548	381	00:00:49	12.99	15:16:28
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_2_(c)	1,046	848	647	00:06:23	13.95	38:32:46
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(b)	1,043	896	758	00:04:12	24.83	20:17:37
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_1_(a)	1,040	881	707	00:03:07	11.56	48:35:05
