MATH101/April 2010/Question 02 (c) 100 (1 votes)
MATH101/April 2010/Question 03 (a) 90 (2 votes)
MATH101/April 2010/Question 03 (b) 99 (2 votes)
MATH101/April 2010/Question 03 (c) 63 (3 votes)
MATH101/April 2010/Question 03 (d) 100 (1 votes)
MATH101/April 2010/Question 07 53 (2 votes)
MATH101/April 2010/Question 08 17 (1 votes)
MATH101/April 2010/Question 09 38 (3 votes)
MATH101/April 2011/Question 01 (a) 99 (3 votes)
MATH101/April 2011/Question 01 (b) 72 (7 votes)
MATH101/April 2011/Question 01 (c) 88 (5 votes)
MATH101/April 2011/Question 01 (d) 16 (2 votes)
MATH101/April 2011/Question 01 (e) 48 (6 votes)
MATH101/April 2011/Question 01 (f) 79 (8 votes)
MATH101/April 2011/Question 01 (g) 20 (13 votes)
MATH101/April 2011/Question 01 (h) 80 (4 votes)
MATH101/April 2011/Question 01 (i) 100 (2 votes)
MATH101/April 2011/Question 01 (j) 89 (4 votes)
MATH101/April 2011/Question 02 (a) 87 (3 votes)
MATH101/April 2011/Question 02 (b) 36 (4 votes)
MATH101/April 2011/Question 03 (a) 92 (3 votes)
MATH101/April 2011/Question 03 (b) 86 (4 votes)
MATH101/April 2011/Question 04 (a) 39 (5 votes)
MATH101/April 2011/Question 04 (b) 44 (3 votes)
MATH101/April 2011/Question 04 (c) 66 (2 votes)
MATH101/April 2011/Question 04 (d) 65 (5 votes)
MATH101/April 2011/Question 05 (a) 69 (2 votes)
MATH101/April 2011/Question 05 (c) 53 (2 votes)
MATH101/April 2011/Question 06 (a) 52 (4 votes)
MATH101/April 2011/Question 06 (b) 100 (1 votes)
MATH101/April 2011/Question 07 82 (4 votes)
MATH101/April 2011/Question 08 84 (2 votes)
MATH101/April 2012/Question 01 (a) 82 (20 votes)
MATH101/April 2012/Question 01 (b) 79 (15 votes)
MATH101/April 2012/Question 01 (c) 62 (17 votes)
MATH101/April 2012/Question 01 (d) 92 (17 votes)
MATH101/April 2012/Question 01 (e) 62 (16 votes)
MATH101/April 2012/Question 01 (f) 70 (12 votes)
MATH101/April 2012/Question 01 (g) 46 (19 votes)
MATH101/April 2012/Question 01 (h) 70 (15 votes)
MATH101/April 2012/Question 01 (i) 26 (13 votes)
MATH101/April 2012/Question 01 (j) 31 (7 votes)
MATH101/April 2012/Question 02 (a) 79 (8 votes)
MATH101/April 2012/Question 02 (b) 55 (8 votes)
MATH101/April 2012/Question 03 (a) 77 (9 votes)
MATH101/April 2012/Question 03 (b) 32 (14 votes)
MATH101/April 2012/Question 03 (c) 77 (12 votes)
MATH101/April 2012/Question 03 (d) 83 (7 votes)
MATH101/April 2012/Question 04 (a) 77 (9 votes)
MATH101/April 2012/Question 04 (b) 52 (8 votes)
MATH101/April 2012/Question 04 (c) 56 (9 votes)
MATH101/April 2012/Question 05 75 (6 votes)
MATH101/April 2012/Question 06 81 (7 votes)
MATH101/April 2012/Question 07 (a) 86 (6 votes)
MATH101/April 2012/Question 07 (b) 79 (6 votes)
MATH101/April 2012/Question 07 (c) 61 (7 votes)
MATH101/April 2012/Question 08 (a) 45 (7 votes)
MATH101/April 2012/Question 08 (b) 37 (7 votes)
MATH101/April 2013/Question 01 (a) 83 (20 votes)
MATH101/April 2013/Question 01 (b) 91 (14 votes)
MATH101/April 2013/Question 01 (c) 76 (16 votes)
MATH101/April 2013/Question 02 (a) 55 (18 votes)
MATH101/April 2013/Question 02 (b) 66 (20 votes)
MATH101/April 2013/Question 02 (c) 73 (11 votes)
MATH101/April 2013/Question 03 (a) 95 (14 votes)
MATH101/April 2013/Question 03 (b) 80 (11 votes)
MATH101/April 2013/Question 03 (c) 87 (9 votes)
MATH101/April 2013/Question 04 (a) 79 (12 votes)
MATH101/April 2013/Question 04 (b) 87 (7 votes)
MATH101/April 2013/Question 05 (a) 62 (11 votes)
MATH101/April 2013/Question 05 (b) 55 (13 votes)
MATH101/April 2013/Question 06 (a) 81 (11 votes)
MATH101/April 2013/Question 06 (b) 43 (12 votes)
MATH101/April 2013/Question 07 (a) 42 (12 votes)
MATH101/April 2013/Question 07 (b) 42 (14 votes)
MATH101/April 2013/Question 08 43 (14 votes)
MATH101/April 2013/Question 09 (a) 70 (7 votes)
MATH101/April 2013/Question 09 (b) 74 (7 votes)
MATH101/April 2013/Question 10 (a) 54 (9 votes)
MATH101/April 2013/Question 10 (b) 36 (8 votes)
MATH101/April 2013/Question 11 74 (7 votes)
MATH101/April 2013/Question 12 (a) 24 (13 votes)
MATH101/April 2013/Question 12 (b) 41 (7 votes)
MATH101/April 2013/Question 12 (c) 87 (4 votes)
MATH103/April 2005/Question 01 (a) 75 (1 votes)
MATH103/April 2005/Question 01 (b) 80 (2 votes)
MATH103/April 2005/Question 01 (c) 69 (6 votes)
MATH103/April 2005/Question 01 (d) 65 (3 votes)
MATH103/April 2005/Question 01 (e) 77 (3 votes)
MATH103/April 2005/Question 04 99 (1 votes)
MATH103/April 2005/Question 05 (a) 70 (1 votes)
MATH103/April 2006/Question 03 (a) 96 (3 votes)
MATH103/April 2009/Question 01 (a) 53 (11 votes)
MATH103/April 2009/Question 01 (b) 58 (1 votes)
MATH103/April 2009/Question 01 (c) 88 (6 votes)
MATH103/April 2009/Question 01 (d) 64 (1 votes)
MATH103/April 2009/Question 01 (e) 61 (10 votes)
MATH103/April 2009/Question 01 (f) 1 (1 votes)
MATH103/April 2009/Question 02 71 (1 votes)
MATH103/April 2009/Question 03 (a) 57 (4 votes)
MATH103/April 2009/Question 03 (b) 72 (5 votes)
MATH103/April 2009/Question 04 (a) 81 (11 votes)
MATH103/April 2009/Question 04 (b) 65 (7 votes)
MATH103/April 2009/Question 04 (c) 76 (3 votes)
MATH103/April 2009/Question 05 (a) 89 (6 votes)
MATH103/April 2009/Question 05 (b) 17 (9 votes)
MATH103/April 2009/Question 05 (c) 40 (11 votes)
MATH103/April 2009/Question 06 (a) 69 (3 votes)
MATH103/April 2009/Question 06 (b) 18 (3 votes)
MATH103/April 2009/Question 07 (a) 49 (3 votes)
MATH103/April 2009/Question 07 (b) 67 (4 votes)
MATH103/April 2009/Question 07 (c) 27 (5 votes)
MATH103/April 2009/Question 08 (a) 78 (9 votes)
MATH103/April 2009/Question 08 (b) 78 (6 votes)
MATH103/April 2009/Question 08 (c) 58 (7 votes)
MATH103/April 2010/Question 01 (a) 74 (11 votes)
MATH103/April 2010/Question 01 (b) 81 (10 votes)
MATH103/April 2010/Question 01 (c) 61 (5 votes)
MATH103/April 2010/Question 01 (d) 65 (6 votes)
MATH103/April 2010/Question 01 (e) 81 (4 votes)
MATH103/April 2010/Question 01 (f) 34 (5 votes)
MATH103/April 2010/Question 01 (g) 35 (4 votes)
MATH103/April 2010/Question 01 (h) 79 (7 votes)
MATH103/April 2010/Question 02 78 (6 votes)
MATH103/April 2010/Question 03 (a) 58 (5 votes)
MATH103/April 2010/Question 03 (b) 66 (4 votes)
MATH103/April 2010/Question 04 (a) 60 (8 votes)
MATH103/April 2010/Question 04 (b) 71 (7 votes)
MATH103/April 2010/Question 04 (c) 70 (3 votes)
MATH103/April 2010/Question 05 (a) 80 (6 votes)
MATH103/April 2010/Question 05 (b) 62 (7 votes)
MATH103/April 2010/Question 06 (a) 42 (7 votes)
MATH103/April 2010/Question 06 (b) 72 (6 votes)
MATH103/April 2010/Question 07 (a) 26 (5 votes)
MATH103/April 2010/Question 07 (b) 72 (5 votes)
MATH103/April 2010/Question 07 (c) 69 (2 votes)
MATH103/April 2010/Question 08 25 (3 votes)
MATH103/April 2011/Question 01 (a) 77 (8 votes)
MATH103/April 2011/Question 01 (b) 46 (8 votes)
MATH103/April 2011/Question 01 (c) 50 (1 votes)
MATH103/April 2011/Question 02 (a) 81 (10 votes)
