# ----------------------------------------
# All Web Site Data
# Top Events
# 20140902-20141231
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
MATH101_April_2005_s,4,4,0,0.00
MATH101_April_2007_a,4,3,0,0.00
MATH101_April_2008_e,4,4,0,0.00
MATH101_April_2008_s,4,4,0,0.00
MATH101_April_2010_s,4,4,0,0.00
MATH101_April_2012_a,4,4,0,0.00
MATH103_April_2005_a,4,3,0,0.00
MATH103_April_2006_a,4,3,0,0.00
MATH103_April_2009_a,4,4,0,0.00
MATH103_April_2009_e,4,4,0,0.00
MATH103_April_2010_a,4,3,0,0.00
MATH103_April_2010_e,4,4,0,0.00
MATH103_April_2012_a,4,3,0,0.00
MATH105_April_2009_a,4,3,0,0.00
MATH105_April_2009_e,4,4,0,0.00
MATH105_April_2010_a,4,4,0,0.00
MATH105_April_2011_a,4,4,0,0.00
MATH105_April_2012_s,4,4,0,0.00
MATH110_April_2011_a,4,4,0,0.00
MATH215_December_2011_a,4,4,0,0.00
MATH257_December_2011_s,4,2,0,0.00
MATH307_April_2006_e,4,4,0,0.00
MATH307_April_2013_e,4,4,0,0.00
MATH312_December_2005_e,4,4,0,0.00
MATH312_December_2008_e,4,4,0,0.00
MATH312_December_2010_s,4,3,0,0.00
MATH437_December_2006_a,4,4,0,0.00
MATH437_December_2011_s,4,3,0,0.00
MATH101_April_2006_s,3,3,0,0.00
MATH101_April_2008_a,3,3,0,0.00
MATH101_April_2009_a,3,3,0,0.00
MATH105_April_2009_s,3,3,0,0.00
MATH110_April_2011_s,3,3,0,0.00
MATH110_April_2013_a,3,2,0,0.00
MATH215_December_2013_a,3,3,0,0.00
MATH220_April_2005_e,3,3,0,0.00
MATH220_April_2005_s,3,3,0,0.00
MATH257_December_2011_a,3,2,0,0.00
MATH307_April_2006_s,3,3,0,0.00
MATH307_December_2010_s,3,2,0,0.00
MATH307_December_2012_a,3,2,0,0.00
MATH312_December_2008_s,3,3,0,0.00
MATH312_December_2012_s,3,3,0,0.00
MATH101_April_2010_a,2,2,0,0.00
MATH110_April_2012_a,2,2,0,0.00
MATH110_December_2010_a,2,2,0,0.00
MATH152_April_2010_e,2,2,0,0.00
MATH152_April_2011_e,2,2,0,0.00
MATH152_April_2012_e,2,2,0,0.00
MATH152_April_2012_s,2,2,0,0.00
MATH152_April_2013_s,2,1,0,0.00
MATH307_April_2006_a,2,2,0,0.00
MATH307_April_2012_s,2,2,0,0.00
MATH307_April_2013_a,2,2,0,0.00
