# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20130901-20131231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104,6062,4340,1821,00:00:45,2.89,871:54:42
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,5195,3114,1485,00:00:53,8.72,298:22:07
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,5102,2627,1325,00:00:36,10.43,232:49:26
/Science:Math_Exam_Resources/Courses/MATH100,3574,2614,1286,00:00:55,3.42,389:27:20
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,3460,2108,1140,00:00:54,11.02,154:51:11
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,2512,1403,802,00:00:58,11.26,114:08:18
/Science:Math_Exam_Resources/Courses/MATH100/December_2011,2251,1275,744,00:01:00,10.37,131:29:28
/Science:Math_Exam_Resources/Courses/MATH100/December_2012,2002,1178,705,00:00:59,10.32,98:13:35
/Science:Math_Exam_Resources/Courses/MATH110,1894,1301,586,00:00:37,4.65,167:34:26
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(a),1816,1478,990,00:02:33,16.66,56:41:08
/Science:Math_Exam_Resources/Courses/MATH102,1746,1345,647,00:00:53,2.41,291:15:50
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_4,1573,1327,915,00:06:50,5.54,132:39:47
/Science:Math_Exam_Resources/Courses/MATH102/December_2012,1529,906,452,00:00:56,7.80,92:39:15
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(a),1457,1301,954,00:02:49,15.34,90:08:59
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_3,1442,1247,879,00:07:07,10.23,55:06:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(b),1342,1027,769,00:03:57,15.79,29:33:22
