# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20140206
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(d),2548,2137,1806,00:02:28,22.55,51:05:17
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(d),2531,2161,1734,00:02:20,15.72,34:39:50
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(e),2524,2127,1624,00:03:19,12.94,49:01:53
/Science:Math_Exam_Resources/Courses/MATH152/April_2010,2472,1481,821,00:01:25,9.26,103:49:34
/Science:Math_Exam_Resources/Courses/MATH102,2308,1785,889,00:00:53,2.77,274:00:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_6,2308,1977,1464,00:05:33,8.64,45:31:11
/Science:Math_Exam_Resources/Courses/MATH102/December_2011,2264,1368,769,00:00:39,5.34,186:53:03
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_5,2240,1881,1419,00:05:28,7.89,103:28:29
/Science:Math_Exam_Resources/Courses/MATH101/April_2009,2237,1289,845,00:00:52,10.70,137:10:01
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(b),2216,1816,1382,00:04:45,9.68,51:42:13
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(e),2209,1963,1539,00:05:24,15.03,70:23:23
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(a),2165,1823,1320,00:04:32,10.21,73:10:33
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_3,2117,1874,1464,00:04:03,12.91,40:27:27
/Science:Math_Exam_Resources/Courses/MATH110/December_2011,2096,1163,639,00:00:38,13.02,51:01:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(c),2093,1833,1488,00:03:36,18.04,59:47:15
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(a),2055,1676,1388,00:02:30,16.18,62:41:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_4,2018,1799,1440,00:06:06,16.82,48:24:51
/Science:Math_Exam_Resources/Courses/MATH101/April_2005,2014,1098,807,00:00:34,16.37,31:42:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(d),1994,1747,1477,00:03:59,25.24,45:22:48
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(b),1973,1778,1539,00:02:00,23.21,50:16:03
/Science:Math_Exam_Resources/Courses/MATH100/December_2012,1929,1207,749,00:00:44,10.05,82:57:36
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(a),1877,1535,1009,00:02:12,16.61,86:00:10
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(a),1854,1553,1187,00:02:27,18.00,36:04:21
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(f),1819,1641,1406,00:03:07,15.16,72:18:51
/Science:Math_Exam_Resources/Courses/MATH220,1799,1224,660,00:00:40,3.29,131:47:42
/Science:Math_Exam_Resources/Courses/MATH102/December_2012,1775,1057,465,00:00:44,8.96,77:05:29
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(i),1775,1600,1344,00:04:34,22.47,26:45:00
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(g),1768,1604,1323,00:03:01,17.17,41:41:26
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(k),1758,1580,1344,00:03:45,27.05,32:56:09
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(h),1710,1549,1354,00:02:14,31.09,35:59:37
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(n),1689,1501,1265,00:02:47,25.98,44:49:24
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(a),1676,1358,981,00:03:01,11.40,53:47:37
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(l),1669,1512,1269,00:03:36,21.13,25:17:07
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(j),1648,1532,1334,00:03:16,28.41,13:16:55
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(m),1587,1447,1228,00:02:53,23.34,20:47:55
/Science:Math_Exam_Resources/Courses/MATH220/December_2011,1501,691,427,00:00:52,16.87,17:27:52
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_2,1470,1248,1009,00:04:34,26.73,23:51:47
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(b),1470,1108,821,00:03:08,16.52,52:49:35
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_3,1453,1217,964,00:05:37,16.33,39:15:17
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(b),1426,1231,1012,00:03:33,17.39,66:35:10
/Science:Math_Exam_Resources/Courses/MATH103/April_2009/Question_1_(a),1402,1156,855,00:03:23,17.75,48:04:37
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_6,1402,1200,916,00:06:14,17.10,26:34:17
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_3_(a),1371,848,609,00:03:13,9.33,67:15:45
/Science:Math_Exam_Resources/Courses/MATH221,1361,1043,643,00:00:18,6.42,62:25:46
/Science:Math_Exam_Resources/Courses/MATH101/April_2008,1344,865,561,00:00:43,19.76,29:55:49
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(a),1323,1152,855,00:03:20,13.78,51:07:48
/Science:Math_Exam_Resources/Courses/MATH110/December_2010,1313,834,492,00:00:55,9.58,62:36:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_7,1306,1139,910,00:06:11,9.07,77:24:18
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(b),1279,1026,780,00:03:26,19.68,59:20:31
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(a),1262,1087,889,00:02:41,12.25,26:14:37
/Science:Math_Exam_Resources/Courses/MATH215/December_2011,1262,752,465,00:01:04,13.72,46:04:24
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_1_(b),1258,944,746,00:04:31,10.84,45:40:08
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_4,1238,1053,831,00:02:55,17.19,56:42:59
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(e),1214,954,817,00:03:01,16.86,11:06:34
/Science:Math_Exam_Resources/Courses/MATH221/December_2011,1214,804,462,00:00:59,10.12,48:37:54
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_5_(a),1207,1026,814,00:02:31,14.20,37:19:29
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(c),1207,1046,889,00:04:12,12.19,39:14:33
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(b),1180,1012,834,00:02:08,31.05,22:18:29
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_6,1170,978,773,00:04:36,18.87,27:47:18
/Science:Math_Exam_Resources/Courses/MATH220/April_2011,1159,575,362,00:00:32,14.67,23:37:22
/Science:Math_Exam_Resources/Courses/MATH221/April_2013,1152,609,239,00:01:08,16.00,22:40:29
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_4_(a),1146,879,650,00:03:32,13.48,56:46:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(f),1132,951,766,00:03:53,10.68,24:37:20
/Science:Math_Exam_Resources/Courses/MATH103/April_2010/Question_1_(a),1118,1005,834,00:02:51,53.24,14:05:25
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(c),1118,927,728,00:04:30,32.88,30:19:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(e),1115,934,766,00:02:37,27.20,09:10:01
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(c),1115,934,670,00:05:17,17.15,37:13:33
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(b),1111,954,804,00:04:11,25.25,20:44:44
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_1_(a),1108,944,756,00:03:13,12.45,49:54:16
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_1_(a),1105,923,612,00:02:35,17.00,27:06:36
/Science:Math_Exam_Resources/Courses/MATH257/December_2011,1101,622,404,00:00:33,8.04,15:11:42
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_5_(a),1091,841,626,00:03:36,13.30,18:50:20
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(d),1067,845,684,00:03:11,39.52,12:56:24
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_3,1067,903,663,00:06:40,44.46,08:41:55
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_3_(b),1057,804,711,00:03:25,31.09,11:52:37
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_2_(c),1053,865,653,00:06:16,13.33,38:28:47
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(d),1046,858,742,00:04:11,27.53,14:21:36
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_2_(a),1033,862,605,00:03:54,8.61,39:28:55
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_3,1029,886,561,00:04:55,4.23,34:05:24
/Science:Math_Exam_Resources/Courses/MATH215,1026,893,581,00:00:24,11.15,12:16:23
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(h),1023,858,670,00:05:16,30.09,17:54:08
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_4,1023,838,674,00:06:06,11.12,24:32:02
/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_8,1019,845,605,00:05:39,9.61,32:26:17
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(e),1019,828,667,00:02:14,32.87,10:39:12
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_1_(a)_i,1012,852,622,00:03:24,9.55,59:31:01
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(f),1012,838,660,00:03:48,29.76,31:30:40
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(d),1012,841,722,00:02:36,21.08,23:37:39
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_3,1012,817,629,00:03:53,13.49,41:58:25
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_8,1005,848,650,00:06:25,12.26,25:50:44
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_8_(a),1005,869,698,00:03:44,9.48,52:54:09
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(f),988,879,759,00:04:09,29.06,06:36:48
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_6_(a),985,787,598,00:03:31,20.52,18:48:27
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_5_(b),981,845,718,00:02:56,25.82,22:38:09
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_2_(a),971,807,643,00:04:07,28.56,09:23:14
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_2_(e),971,595,516,00:01:11,46.24,13:40:31
/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_1_(a),958,845,670,00:01:39,12.77,45:28:06
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_1_(f),958,773,633,00:04:21,30.90,15:14:20
/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_8,954,810,598,00:04:37,5.48,27:01:45
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_9_(g),951,804,643,00:03:12,21.61,18:44:49
/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_5_(a),947,804,475,00:02:43,3.51,21:50:03
/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_7,944,752,557,00:06:19,9.54,37:10:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_4_(b),944,725,571,00:02:30,16.28,33:27:03
/Science:Math_Exam_Resources/Courses/MATH110/April_2011,937,516,356,00:00:18,16.16,17:58:01
/Science:Math_Exam_Resources/Courses/MATH101/April_2010/Question_4,927,715,544,00:06:14,12.88,21:05:29
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(c),927,814,698,00:05:23,19.31,22:13:32
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(k),927,790,598,00:04:39,9.36,14:12:26
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_6_(a),923,752,585,00:02:41,12.82,31:16:28
/Science:Math_Exam_Resources/Courses/MATH110/April_2012,920,588,376,00:00:45,14.15,15:37:04
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_1_(a),916,797,605,00:02:08,19.08,21:47:36
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(j),916,797,636,00:04:34,53.88,06:52:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(k),916,780,629,00:03:20,29.55,17:33:51
/Science:Math_Exam_Resources/Courses/MATH110/December_2012,910,510,280,00:01:01,43.33,17:45:05
/Science:Math_Exam_Resources/Courses/MATH152/April_2011/Question_A01,910,804,633,00:01:08,11.52,51:26:50
/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_7,906,728,540,00:06:00,13.32,05:46:12
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(g),906,800,660,00:02:36,26.65,35:15:41
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(m),903,787,633,00:04:38,23.76,07:05:28
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(i),896,769,643,00:01:26,15.45,41:54:19
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_5_(b),896,619,516,00:03:42,23.58,13:18:20
/Science:Math_Exam_Resources/Courses/MATH102/December_2011/Question_8_(i),893,674,506,00:05:20,4.93,88:09:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(l),893,746,619,00:01:34,37.21,09:03:58
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(o),893,722,598,00:03:29,26.26,16:52:59
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(n),886,708,598,00:03:40,32.81,33:50:52
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_2_(b),886,756,581,00:03:49,14.29,30:07:41
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_4_(a),886,759,544,00:05:26,26.06,19:44:15
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_2_(d),882,698,568,00:03:39,6.44,52:14:53
/Science:Math_Exam_Resources/Courses/MATH103/April_2011/Question_4_(b),882,732,592,00:05:43,13.57,22:01:13
