# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20140101-20140430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(j),1006,909,726,00:07:06,17.05,34:54:55
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(h),1005,903,762,00:04:32,18.61,41:22:02
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_08_(b),1003,883,682,00:05:49,11.02,38:10:59
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_02_(a),998,862,604,00:05:24,11.88,47:47:19
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(c),995,929,772,00:03:58,33.17,21:30:00
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_04_(a),995,904,736,00:04:57,23.69,22:22:40
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_05_(a),995,752,488,00:05:00,8.81,44:08:51
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(d),994,835,597,00:04:55,14.62,32:59:59
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(e),993,910,765,00:04:56,33.10,24:30:59
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_03_(b),990,906,737,00:06:47,19.80,53:20:58
/Science:Math_Exam_Resources/Courses/MATH105/April_2010,982,647,419,00:00:55,20.46,22:43:43
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,981,696,416,00:00:58,13.08,55:57:55
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_05,977,873,717,00:06:26,12.37,64:00:36
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(d),974,805,573,00:02:10,22.14,17:34:45
/Science:Math_Exam_Resources/Courses/MATH152/April_2010,972,650,354,00:01:16,11.05,76:03:56
/Science:Math_Exam_Resources/Courses/MATH110/April_2013,970,619,310,00:01:12,13.29,32:55:19
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_06_(a),965,781,523,00:04:27,13.04,41:52:48
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(f),956,879,733,00:05:48,19.51,41:50:52
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_03_(a),955,817,543,00:05:05,16.75,30:51:38
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_02_(a),945,818,690,00:05:18,12.77,68:04:55
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(d),941,882,747,00:03:29,32.45,24:15:45
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_01_(b),938,885,723,00:02:39,26.06,39:55:08
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_02_(c),935,792,575,00:04:54,24.61,20:09:40
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_02_(b),925,808,685,00:04:47,25.69,25:05:23
/Science:Math_Exam_Resources/Courses/MATH101/April_2009,920,601,378,00:01:05,18.40,30:35:56
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,910,608,360,00:01:13,12.64,60:10:15
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(e),908,736,510,00:03:26,24.54,15:04:40
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_03_(b),908,776,568,00:06:21,15.93,21:36:38
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(l),903,790,575,00:06:01,17.04,33:46:31
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_02_(b),901,773,575,00:05:46,13.45,49:44:38
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_03_(a),900,839,713,00:05:12,15.79,38:35:27
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_06_(b),898,620,429,00:02:46,18.71,33:58:41
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_08_(c),897,762,520,00:04:48,15.20,26:37:10
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_03_(b)_i,895,729,484,00:06:22,13.77,29:20:32
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_03_(d),893,827,694,00:04:32,16.85,41:33:40
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(f),884,759,524,00:06:28,15.24,26:01:53
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(d),884,762,523,00:06:09,14.03,38:59:19
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(i),880,784,570,00:04:51,22.56,24:19:47
/Science:Math_Exam_Resources/Courses/MATH110/April_2012,867,565,305,00:01:11,14.21,21:07:38
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_03_(c),863,797,681,00:06:08,13.92,56:24:22
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(c),861,761,531,00:06:10,16.25,35:24:24
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_07_(c),859,768,645,00:04:26,39.05,07:32:21
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(n),858,740,543,00:04:10,22.00,34:41:28
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_07_(a),853,745,641,00:03:39,12.73,40:15:18
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(a),853,745,537,00:03:07,12.73,47:29:26
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(b),844,746,540,00:06:16,16.55,25:21:39
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_01_(g),837,752,592,00:05:37,15.22,30:43:57
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(k),835,748,550,00:04:29,19.42,34:59:38
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_06_(a),833,707,527,00:04:16,9.69,42:24:02
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(c),825,755,586,00:05:41,18.75,26:40:48
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_04_(a),818,719,478,00:02:49,16.69,28:37:49
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(m),818,718,531,00:04:17,16.04,34:25:56
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_05_(a),806,675,513,00:04:19,12.59,36:14:10
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_06_(b),803,701,527,00:04:59,10.43,32:50:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_05_(b),789,668,485,00:07:49,20.76,23:31:45
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_04_(b),788,670,469,00:04:44,22.51,27:01:49
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(b),788,717,548,00:03:06,17.51,22:25:38
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_01_(a),785,635,442,00:03:32,10.90,43:32:22
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_01_(b),784,572,433,00:03:27,29.04,15:51:10
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_10,776,663,462,00:05:55,8.53,27:35:54
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_03_(a),775,692,522,00:05:32,12.70,43:57:34
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_04_(a),774,657,516,00:05:46,15.18,28:07:23
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(g),771,694,540,00:04:21,19.77,30:17:44
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_07_(b),770,688,604,00:02:11,55.00,09:48:02
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(f),768,706,543,00:05:01,20.76,23:32:10
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(j),754,659,510,00:04:41,22.18,28:05:13
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_09,741,629,479,00:04:36,13.23,19:07:18
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_04_(b),719,618,473,00:05:39,22.47,15:52:51
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_01_(e),707,640,549,00:03:33,29.46,16:05:42
/Science:Math_Exam_Resources/Courses/MATH103/April_2009,705,539,294,00:00:59,10.52,25:10:48
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(e),705,645,517,00:03:16,15.33,38:21:35
/Science:Math_Exam_Resources/Courses/MATH221/April_2013,701,442,256,00:00:59,7.88,35:31:52
/Science:Math_Exam_Resources/Courses/MATH105/April_2013/Question_01_(h),696,632,505,00:04:32,33.14,18:55:15
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_08_(a),692,609,450,00:02:43,46.13,10:20:12
/Science:Math_Exam_Resources/Courses/MATH221,676,488,295,00:00:32,5.98,36:47:12
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_03_(b)_ii,672,551,402,00:04:04,15.63,31:52:54
/Science:Math_Exam_Resources/Courses/MATH103/April_2010,663,480,308,00:01:07,12.75,33:04:09
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_01_(i),655,599,497,00:02:58,46.79,13:45:58
/Science:Math_Exam_Resources/Courses/MATH110/April_2011,646,411,240,00:00:28,15.02,31:26:27
/Science:Math_Exam_Resources/Courses/MATH101/April_2011/Question_01_(h),641,574,492,00:03:56,22.89,42:32:32
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_07_(a),640,530,384,00:02:20,18.82,29:23:26
/Science:Math_Exam_Resources/Courses/MATH101/April_2008,625,419,266,00:00:46,15.62,14:36:44
