# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20150121
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(b),2856,2447,2093,00:01:30,30.71,51:09:21
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(c),2845,2425,2006,00:04:35,29.03,53:15:04
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(i),2834,2540,2126,00:03:53,32.57,68:35:43
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(d),2829,2627,2186,00:03:17,24.82,51:26:15
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(h),2807,2567,2164,00:02:31,26.99,75:42:07
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(c),2796,2420,2038,00:02:33,32.14,33:58:25
/Science:Math_Exam_Resources/Courses/MATH221/December_2011,2774,1755,1074,00:00:52,14.99,105:56:38
/Science:Math_Exam_Resources/Courses/MATH102/December_2012,2763,1788,1085,00:00:57,9.76,114:39:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(n),2758,2469,2093,00:04:42,17.46,85:49:23
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(g),2758,2246,1848,00:03:48,13.32,35:19:11
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(d),2709,2235,1908,00:02:43,27.64,28:12:52
/Science:Math_Exam_Resources/Courses/MATH101/April_2005,2687,1488,1079,00:00:44,15.44,96:26:37
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(k),2676,2376,2011,00:02:36,32.63,44:23:24
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(l),2676,2458,2055,00:02:02,44.60,23:47:05
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(d),2649,2256,1826,00:02:26,16.15,43:16:21
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(a),2643,2414,1886,00:02:22,28.42,48:59:22
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(b),2638,2295,1935,00:01:54,25.37,35:40:32
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(e),2600,2207,1717,00:03:27,12.87,56:45:55
/Science:Math_Exam_Resources/Courses/MATH110/December_2011,2540,1521,910,00:00:41,9.92,90:03:55
/Science:Math_Exam_Resources/Courses/MATH200,2507,2000,1493,00:00:38,10.23,05:54:05
/Science:Math_Exam_Resources/Courses/MATH220/December_2011,2502,1205,725,00:00:57,15.84,42:54:44
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),2480,2115,1461,00:03:23,12.28,141:19:59
/Science:Math_Exam_Resources/Courses/MATH200/December_2011,2376,1472,867,00:00:47,3.70,193:31:17
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_6,2338,1968,1482,00:04:55,11.57,38:23:19
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(b),2316,1891,1423,00:04:34,8.48,28:59:45
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(a),2305,1804,1194,00:05:02,17.60,82:14:33
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_5,2295,1929,1466,00:05:20,8.41,105:32:50
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(a),2284,1908,1390,00:04:48,9.76,81:04:14
/Science:Math_Exam_Resources/Courses/MATH104/December_2013,2246,1215,714,00:01:07,10.85,80:06:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_3,2240,1951,1510,00:03:47,11.09,46:03:08
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(e),2191,1973,1608,00:05:24,17.53,27:53:26
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(c),2186,1908,1586,00:03:30,14.29,70:15:55
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_4,2104,1853,1477,00:06:19,18.46,53:55:13
/Science:Math_Exam_Resources/Courses/MATH102/December_2013,2093,965,556,00:00:54,17.44,47:52:30
/Science:Math_Exam_Resources/Courses/MATH215/December_2011,2082,1264,763,00:01:05,14.66,56:40:28
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(a),2066,1695,1428,00:02:23,17.22,58:51:11
/Science:Math_Exam_Resources/Courses/MATH104/December_2012/Question_1_(a),2049,1711,1112,00:02:11,12.97,133:59:19
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(b),2044,1815,1597,00:01:44,21.98,59:38:57
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(d),2017,1793,1548,00:04:03,19.39,64:33:27
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_11,2006,1684,1330,00:05:56,11.14,53:53:24
/Science:Math_Exam_Resources/Courses/MATH110/April_2012,1978,1335,779,00:00:46,12.06,67:00:37
/Science:Math_Exam_Resources/Courses/MATH105/April_2010/Question_1_(a),1951,1597,1210,00:02:09,17.90,40:24:56
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(a),1940,1564,1106,00:05:26,7.40,118:59:01
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(a),1908,1771,1237,00:04:13,19.47,59:45:30
/Science:Math_Exam_Resources/Courses/MATH110/December_2012,1859,1079,638,00:00:39,22.67,70:59:20
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(a),1848,1548,1112,00:03:00,11.70,50:18:02
/Science:Math_Exam_Resources/Courses/MATH152/April_2013,1848,1036,561,00:02:02,13.01,124:37:40
/Science:Math_Exam_Resources/Courses/MATH220/April_2011,1842,894,540,00:00:42,16.16,33:16:22
